"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-16","2025","11","16","","1.9","","-7.0","","-2.6","","20.6","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-17","2025","11","17","","4.5","","-5.0","","-0.3","","18.3","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-18","2025","11","18","","2.7","","-5.5","","-1.4","","19.4","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-19","2025","11","19","","4.2","","-0.8","","1.7","","16.3","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-20","2025","11","20","","5.2","","-6.1","","-0.5","","18.5","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-21","2025","11","21","","2.0","","-8.7","","-3.4","","21.4","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-22","2025","11","22","","7.5","","-2.0","","2.8","","15.2","","0.0","","","M","","M","","M","","","31","","46",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-23","2025","11","23","","10.1","","-3.0","","3.6","","14.4","","0.0","","","M","","M","","M","","","17","","33",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-24","2025","11","24","","4.0","","-6.1","","-1.1","","19.1","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-25","2025","11","25","","-2.0","","-4.5","","-3.3","","21.3","","0.0","","","M","","M","","M","","","36","","40",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-26","2025","11","26","","-2.0","","-5.8","","-3.9","","21.9","","0.0","","","M","","M","","M","","","32","","38",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-27","2025","11","27","","-3.2","","-8.6","","-5.9","","23.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-28","2025","11","28","","-6.9","","-9.5","","-8.2","","26.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-29","2025","11","29","","-5.6","","-14.8","","-10.2","","28.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-30","2025","11","30","","-9.1","","-14.6","","-11.9","","29.9","","0.0","","","M","","M","","M","","","23","","32",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-01","2025","12","01","","-11.3","","-16.6","","-14.0","","32.0","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-02","2025","12","02","","-7.7","","-14.8","","-11.3","","29.3","","0.0","","","M","","M","","M","","","33","","48",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-03","2025","12","03","","-14.8","","-23.2","","-19.0","","37.0","","0.0","","","M","","M","","M","","","33","","34",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-04","2025","12","04","","-4.7","","-20.9","","-12.8","","30.8","","0.0","","","M","","M","","M","","","18","","48",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-05","2025","12","05","","-9.1","","-18.8","","-14.0","","32.0","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-06","2025","12","06","","-17.4","","-25.4","","-21.4","","39.4","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-07","2025","12","07","","-15.6","","-26.8","","-21.2","","39.2","","0.0","","","M","","M","","M","","","16","","33",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-08","2025","12","08","","-9.7","","-16.8","","-13.3","","31.3","","0.0","","","M","","M","","M","","","18","","31",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-09","2025","12","09","","-8.0","","-15.4","","-11.7","","29.7","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-10","2025","12","10","","-9.1","","-19.6","","-14.4","","32.4","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-11","2025","12","11","","-10.4","","-16.6","","-13.5","","31.5","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-12","2025","12","12","","-10.4","","-25.9","","-18.2","","36.2","","0.0","","","M","","M","","M","","","30","","51",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-13","2025","12","13","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-14","2025","12","14","","-13.0","","-28.0","","-20.5","","38.5","","0.0","","","M","","M","","M","","","16","","47",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-15","2025","12","15","","-7.8","","-14.7","","-11.3","","29.3","","0.0","","","M","","M","","M","","","16","","68",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-16","2025","12","16","","6.0","","-18.0","","-6.0","","24.0","","0.0","","","M","","M","","M","","","31","","41",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-17","2025","12","17","","-5.2","","-18.0","","-11.6","","29.6","","0.0","","","M","","M","","M","","","2","","59",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-18","2025","12","18","","-8.8","","-28.6","","-18.7","","36.7","","0.0","","","M","","M","","M","","","35","","57",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-19","2025","12","19","","-8.7","","-29.4","","-19.1","","37.1","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-20","2025","12","20","","-13.3","","-22.3","","-17.8","","35.8","","0.0","","","M","","M","","M","","","32","","45",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-21","2025","12","21","","-16.0","","-25.7","","-20.9","","38.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-22","2025","12","22","","-8.9","","-20.3","","-14.6","","32.6","","0.0","","","M","","M","","M","","","31","","37",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-23","2025","12","23","","","M","","M","","M","","M","","M","","M","","M","","M","","","16","","50",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-24","2025","12","24","","-9.1","","-16.1","","-12.6","","30.6","","0.0","","","M","","M","","M","","","1","","40",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-25","2025","12","25","","-6.6","","-16.1","","-11.4","","29.4","","0.0","","","M","","M","","M","","","31","","32",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-26","2025","12","26","","-9.2","","-12.1","","-10.7","","28.7","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-27","2025","12","27","","-8.3","","-13.4","","-10.9","","28.9","","0.0","","","M","","M","","M","","","32","","33",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-28","2025","12","28","","-13.4","","-23.1","","-18.3","","36.3","","0.0","","","M","","M","","M","","","35","","35",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-29","2025","12","29","","-15.4","","-26.1","","-20.8","","38.8","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-30","2025","12","30","","-8.1","","-16.0","","-12.1","","30.1","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-12-31","2025","12","31","","-13.9","","-22.0","","-18.0","","36.0","","0.0","","","M","","M","","M","","","","M","","M"
